360,360,1880,1800,1040,2000,2350,1920,1015,1150,1495,2005,1020,1210,1265,1025,1795,1580,1375,1315,2470,1485,1010,1320,1765,1005,1545,5215,1230,1155,4080,1630,1055,1065,1205,1420,1445,1030,1155,2850,1050,1065,1020,2480,1955,1545,1005,1185,1040,1765,1715,1120,1020,1945,1240,1050,3195,1115,1575,1770,1580,1160
540,540,4545,1990,1880,1765,2370,3210,3430,3195,2725,1610,1865,1625,5465,2760,2370,5405,5930,2195,4315,2455,2270,2395,1895,1900,2650,1750,1835,1750,1730,1695,1640,1610,2325,2115,2050,1700,2735,1715,1645,3015,2140,1905,1670,2285,1670,2030,1620,1710,1640,1970,1615,2305,1760,1605,2930,1630,1825,4750,1700,1970
540,540,3070,1805,2705,1675,4390,2295,1830,2595,3050,1835,1835,2865,2605,1915,1690,5120,2050,1740,1630,1895,1905,2035,3030,1710,1860,4865,1900,1740,1825,2345,1735,1650,4945,2255,1695,3325,1900,2145,3770,3615,2065,2455,1670,2175,2930,3790,2295,1680,3800,2015,3400,2025,2730,4990,2955,2425,1875,2665,1935,2865
495,495,1580,1525,2340,1575,1970,1955,1675,2250,1610,2005,2550,3065,2115,2820,1765,1580,1895,1415,2230,1525,2440,2210,1820,2070,2655,2375,1355,1485,3550,1875,1615,1800,1550,2140,1475,2010,1760,3125,1565,1485,1550,2850,1685,2270,2630,3190,3265,1500,1965,2205,2155,1920,2845,2675,1735,2295,1825,1885,3850,2145
225,225,2550,2700,5325,4670,3380,2985,2970,4260,2690,3140,3680,2495,2165,2525,2315,4375,2290,2205,2475,2755,2295,2420,5610,3110,2245,3840,2745,4080,3025,5615,2195,4605,2760,4220,2595,4220,4770,5605,2185,2860,2525,2080,2985,2100,2600,2830,4390,3895,3410,3595,3750,3530,2160,2180,3280,3075,2385,6570,5250,2340
315,315,1670,3065,2015,4375,2425,1810,2090,2985,2345,2690,1725,4260,1760,4040,2395,2025,2960,2430,2990,1670,2050,2035,2500,3315,1705,2565,3700,3545,3000,2950,2505,3300,2465,2580,3030,1740,2735,2125,3430,1660,3130,1855,1810,2470,5960,5965,2635,1830,3455,1805,1765,3085,3830,2950,2260,2005,2685,2515,5295,3835
135,135,2410,4185,3840,7725,4125,2515,4000,4130,2555,2195,2205,2555,5200,4595,3105,2205,4540,2740,2665,3485,4335,5095,2510,4395,2185,2785,2235,2285,3440,3420,7930,3610,5070,4520,2195,4545,2805,4450,3385,3645,2855,4765,4075,4825,2650,2340,2550,3045,2685,3200,2200,2470,4125,4385,2335,2260,4405,3175,2550,9215
315,315,5355,4470,2910,3475,2820,2955,6060,3195,3215,2430,3010,3225,2325,2890,3100,3985,2690,3010,2780,4885,3580,4910,3425,3910,2825,3215,5565,4125,2755,3395,5380,3435,3205,2850,3280,3380,3215,4110,7495,3390,2780,4900,3130,2755,3200,2330,4375,2860,2890,7755,2485,2450,2785,2705,2915,3230,3200,3290,2685,2550
135,135,1570,1830,1155,1315,1930,1270,2040,1375,1325,1155,2240,1540,2285,2580,2315,1405,1860,1400,1450,1955,1605,1345,1475,1145,1340,1925,1600,1240,2055,1805,1650,2540,1655,1295,1415,1505,2330,1340,1300,1495,2010,1590,1430,1535,1460,1145,1620,1360,2520,1415,1995,1765,3110,1370,2560,1270,1500,1385,1585,1360
270,270,4690,2655,2740,3275,2185,2620,2135,1915,2635,1595,1650,1720,1870,2580,1600,3975,1965,1595,2570,3240,2385,2250,1760,2290,1760,1590,1785,2425,1975,1790,2150,1605,3330,1630,1940,2015,2105,2025,2945,2250,1635,2660,1915,1795,1915,1790,2415,4775,1685,2195,2110,1870,2060,1860,1825,2495,2320,1760,2185,2535
